Event Code,Event Message,Associated Object ID,Notes
CONN-1,Connection configuration created successfully,The affected connection ID.,--
CONN-2,Connection configuration updated successfully,The affected connection ID.,--
CONN-3,Connection configuration deleted successfully,The affected connection ID.,--
CONN-4,Workspace associated with connection configuration successfully,The affected connection ID.,Workspace is associated with a connection configuration.
CONN-5,Workspace to connection configuration deleted successfully,The affected connection ID.,Workspace to connection configuration association was deleted.
CONN-6,Connection migrated successfully,The affected connection ID.,--
CONN-7,Connection migration rolled back successfully,The affected connection ID.,--
AUTHZ-0,Authorization failure,N/A,Unauthorized entry attempt events are only logged when an unauthorized status is triggered without an authorization granted status.
AUTHZ-1,Access granted,The associated user ID.,Role ID and Role Name surface in additional attributes.
AUTHZ-2,Access denied,The associated user ID.,Role ID and Role Name surface in additional attributes.
AUTHZ-3,Role assigned,The user ID on which the role assignment was performed.,Role ID and Role Name surface in additional attributes.
AUTHZ-4,Role assignment denied,The user ID on which the role assignment was performed.,Role ID and Role Name surface in additional attributes.
AUTHZ-6,Role unassigned,The user ID on which the role unassignment was performed.,Role ID and Role Name surface in additional attributes.
AUTHZ-7,Role unassignment denied,The user ID on which the role unassignment was performed.,Role ID and Role Name surface in additional attributes.
USR-1,User created,The ID of the created user.,(In Anaplan)
USR-2,User activated,The ID of the activated user.,(In Anaplan)
USR-3,User enabled,The associated user ID.,(In the tenant)
USR-4,User disabled,The associated user ID.,(In the tenant)
USR-5,User updated,The ID of the updated user.,--
USR-8,User login success,The ID associated with the user login.,--
USR-9,User login failure,The ID associated with the user login.,--
USR-10,User logout success,The ID associated with the user logout.,--
USR-11,User logout failure,The ID associated with the user logout.,--
USR-12,User session time-out,The ID associated with the user who timed out.,--
USR-13,"User access to model, success",The associated model ID.,"Opens a model in Manage Models, opens a bookmarked model, selects a model name in Home/Administration, or navigates to the source model in the UX. ipAddress=NA on this event."
USR-14,User access-to-model failure,The associated model ID.,"Failed access via the same paths as USR-13. userAgent=NA on this event."
USR-15,User assigned to tenant success,The associated user ID.,--
USR-16,User assigned to tenant failure,The associated user ID.,--
USR-17,User removed from tenant success,The associated user ID.,--
USR-18,User removed from tenant failure,The associated user ID.,--
USR-19,User accessed dashboard,The associated model ID.,--
USR-20,User executed action,The associated model ID.,--
USR-21,User added to workspace,The ID of the added user.,--
USR-22,User removed from workspace,The ID of the removed user.,--
USR-23,User assigned to a model role,The ID of the user assigned the model role.,"Includes the No Access role. Assignments and removals of No Access are recorded."
USR-24,User unassigned from a model role,The ID of the user unassigned from a role.,"Includes the No Access role. Assignments and removals of No Access are recorded."
USR-25,User assigned or unassigned the Workspace Administrator role,The ID associated with the user whose role has changed.,Records assignment or removal of the Workspace Administrator role.
USR-26,User email updated,The associated user ID.,--
USR-27,User first name updated,The associated user ID.,--
USR-28,User last name updated,The associated user ID.,--
USR-29,User deleted,The associated user ID.,--
USR-30,Visitor added to workspace,The ID of the added visiting user.,--
USR-31,Visitor removed from workspace,The ID of the removed visiting user.,--
USR-32,Miscellaneous Data Export,The associated model ID.,Formerly "Ad Hoc Data Export" in earlier releases.
USR-33,Assign,The associated model ID.,An object associated to a corresponding list.
USR-34,Copy branch,The associated model ID.,--
USR-35,Create,The associated model ID.,A create action was made.
USR-36,Data export from action,The associated model ID.,(Within Anaplan)
USR-38,Delete from list using Selection action has been executed,The associated model ID.,--
USR-39,Model imported via Manage models,The associated model ID.,--
USR-40,An executed optimizer action,The associated model ID.,--
USR-41,A process action has been executed,The associated process ID.,--
USR-42,Line Items updated from an import,The associated model ID.,--
USR-43,UX board page opened,UX App GUID and UX Page GUID.,Both display separated by "/".
USR-44,UX worksheet page opened,UX App GUID and UX Page GUID.,Both display separated by "/".
USR-45,UX report page opened,UX App GUID and UX Page GUID.,Both display separated by "/".
USR-46,UX board "My Page" opened,UX App GUID and UX Page GUID.,UX App GUID displays as null.
USR-47,UX worksheet "My Page" opened,UX App GUID and UX Page GUID.,UX App GUID displays as null.
USR-48,UX app opened,UX App GUID.,--
USR-49,UX page model changed,Not applicable.,--
USR-50,Users updated from an import,The associated model ID.,--
USR-51,List items updated from an import,The associated model ID.,--
USR-52,Module data updated from an import,The associated model ID.,--
USR-53,Versions items updated from an import,The associated model ID.,--
USR-54,Model updated from an import,The associated model ID.,--
USR-55,User password change,The associated user ID.,--
USR-56,User password change failure,The associated user ID.,--
USR-57,User granted Exception access.,The associated user ID.,--
USR-58,Revocation of Exception access.,The associated user ID.,--
USR-59,UX board page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.
USR-60,UX worksheet page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.
USR-61,UX report page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.
USR-62,UX board My page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.
USR-63,UX worksheet My page published,"UX App GUID, UX Page GUID, Page name.",UX App GUID displays as null.
USR-65,User submitted question,UX App GUID.,--
USR-71,Successful import of IP list,Not applicable.,--
USR-72,Failed import of IP list,Not applicable.,--
USR-73,Successful export of IP list,Not applicable.,--
USR-74,Failed export of IP list,Not applicable.,--
COMMENT-01,Comment added,N/A,Comment events have no associated object ID.
COMMENT-02,Comment deleted,N/A,Comment events have no associated object ID.
COMMENT-03,Comments exported,N/A,Comment events have no associated object ID.
INT-01,Connection creation,The associated integration ID.,CloudWorks
INT-02,Connection deletion,The associated integration ID.,CloudWorks
INT-03,Connection update,The associated integration ID.,CloudWorks
INT-04,Data Integration update,The associated integration ID.,CloudWorks
INT-05,Data Integration creation,The associated integration ID.,CloudWorks
INT-06,Data Integration execution,The associated integration ID.,CloudWorks
INT-07,Data Integration deletion,The associated integration ID.,CloudWorks
INT-50,ADO Pipeline created,The associated pipeline ID.,Anaplan Data Orchestrator (ADO)
INT-51,ADO Pipeline deleted,The associated pipeline ID.,Anaplan Data Orchestrator (ADO)
INT-52,ADO Pipeline updated,The associated pipeline ID.,Anaplan Data Orchestrator (ADO)
INT-53,ADO Connection created,The associated connection ID.,Anaplan Data Orchestrator (ADO)
INT-54,ADO Connection updated,The associated connection ID.,Anaplan Data Orchestrator (ADO)
INT-55,ADO Connection deleted,The associated connection ID.,Anaplan Data Orchestrator (ADO)
INT-56,ADO Dataspace created,The associated dataspace ID.,Anaplan Data Orchestrator (ADO)
INT-57,ADO Dataspace updated,The associated dataspace ID.,Anaplan Data Orchestrator (ADO)
INT-58,ADO Dataspace deleted,The associated dataspace ID.,Anaplan Data Orchestrator (ADO)
INT-61,ADO Pipeline started,The associated pipeline ID.,Anaplan Data Orchestrator (ADO)
INT-62,ADO Pipeline canceled,The associated pipeline ID.,Anaplan Data Orchestrator (ADO)
INT-63,ADO Schedule created,The associated schedule ID.,Anaplan Data Orchestrator (ADO)
INT-64,ADO Schedule updated,The associated schedule ID.,Anaplan Data Orchestrator (ADO)
INT-65,ADO Schedule deleted,The associated schedule ID.,Anaplan Data Orchestrator (ADO)
INT-66,ADO connection validation attempted,The associated connection ID.,Anaplan Data Orchestrator (ADO)
FRCST-01,Data Collection created - success,The associated integration ID.,Forecaster (replaces legacy PIQ codes)
FRCST-02,Data Collection created - failure,The associated integration ID.,Forecaster
FRCST-03,Data Collection renamed - success,The associated integration ID.,Forecaster
FRCST-04,Data Collection renamed - failure,The associated integration ID.,Forecaster
FRCST-05,Data Collection deleted - success,The associated integration ID.,Forecaster
FRCST-06,Data Collection deleted - failure,The associated integration ID.,Forecaster
FRCST-07,Data Collection reran - success,The associated integration ID.,Forecaster
FRCST-08,Data Collection reran - failure,The associated integration ID.,Forecaster
FRCST-09,Insights sent - success,The associated integration ID.,Forecaster
FRCST-10,Insights sent - failure,The associated integration ID.,Forecaster
FRCST-11,Data Collection bulk deleted - success,The associated integration ID.,Forecaster
FRCST-12,Data Collection bulk deleted - failure,The associated integration ID.,Forecaster
FRCST-13,Data Collection bulk deleted - partial success,The associated integration ID.,Forecaster
FRCST-30,Forecast Model created - success,The associated integration ID.,Forecaster
FRCST-31,Forecast Model created - failure,The associated integration ID.,Forecaster
FRCST-32,Forecast Model renamed - success,The associated integration ID.,Forecaster
FRCST-33,Forecast Model renamed - failure,The associated integration ID.,Forecaster
FRCST-34,Forecast Model deleted - success,The associated integration ID.,Forecaster
FRCST-35,Forecast Model deleted - failure,The associated integration ID.,Forecaster
FRCST-36,Forecast Model bulk deleted - success,The associated integration ID.,Forecaster
FRCST-37,Forecast Model bulk deleted - failure,The associated integration ID.,Forecaster
FRCST-38,Forecast Model bulk deleted - partial success,The associated integration ID.,Forecaster
FRCST-60,Forecast Action created - success,The associated integration ID.,Forecaster
FRCST-61,Forecast Action created - failure,The associated integration ID.,Forecaster
FRCST-62,Forecast Action deleted - success,The associated integration ID.,Forecaster
FRCST-63,Forecast Action deleted - failure,The associated integration ID.,Forecaster
FRCST-64,Forecast Action run completed - success,The associated integration ID.,Forecaster
FRCST-65,Forecast Action run completed - failure,The associated integration ID.,Forecaster
FRCST-66,Forecast Action schedule created - success,The associated integration ID.,Forecaster
FRCST-67,Forecast Action schedule created - failure,The associated integration ID.,Forecaster
FRCST-68,Forecast Action schedule edited - success,The associated integration ID.,Forecaster
FRCST-69,Forecast Action schedule edited - failure,The associated integration ID.,Forecaster
FRCST-70,Forecast Action schedule activated - success,The associated integration ID.,Forecaster
FRCST-71,Forecast Action schedule activated - failure,The associated integration ID.,Forecaster
FRCST-72,Forecast Action schedule deactivated - success,The associated integration ID.,Forecaster
FRCST-73,Forecast Action schedule deactivated - failure,The associated integration ID.,Forecaster
FRCST-74,Forecast Action bulk deleted - success,The associated integration ID.,Forecaster
